,Pokemon,Behavior
0,Eldegoss,Eldegoss disperse the seeds they produce into the wind to help improve soil and give nutrients to other Pokémon
1,Eldegoss,Eldegoss also shed quite infrequently
2,Eldegoss," As long as they have fresh water and air, they are quite easy to raise due to their easygoing natures and ability to photosynthesize all of the energy they need"
0,Wooloo,"Timid and docile, Wooloo prefer staying in herds and follow their lead"
1,Wooloo," When facing a problem, they would rather roll away as a method to avoid it"
0,Dubwool,"Despite having horns, Dubwool doesn't use them in battle, but rather to attract mates"
0,Chewtle,Chewtle snaps at anything in front of it because of an itch of its teething
1,Chewtle," It is known to attack first with its horn, flinching them before biting down and not letting go"
2,Chewtle," For this reason, they prefer to use their horns first in combat to charge at foes"
3,Chewtle, It is only when they see their enemies flinch and give them an opening that Chewtle will chomp down with all of their might
4,Chewtle, Both their horns and their shells are rock-hard
5,Chewtle," However, their huge heads make Chewtle unable to retreat back into their shells like some other chelonian Pokémon"
6,Chewtle," Instead, these Pokémon will choose fighting over hiding when it comes to danger, fearlessly biting those who try to harm them"
7,Chewtle,These Pokémon are not recommended for beginning or even intermediate trainers
8,Chewtle," They are extremely hostile and short-tempered, making them a danger to other people and Pokémon"
9,Chewtle, Even a tiny Chewtle can wreak havoc on their surroundings as they chomp down on things while teething
10,Chewtle, It takes a skilled trainer to properly handle these Pokémon without resulting in injury for themselves or others
11,Chewtle,Ponds and rivers usually have common Chewtle sightings
0,Drednaw,Drednaw are very aggressive and tend to bite
1,Drednaw," Because of this, inexperienced Trainers will not know how to properly train them, so they end up releasing them"
2,Drednaw,"The power of Gigantamaxing has allowed it to stand on its hind legs and become bipedal! From its standing position, it can come crashing down on opposing Pokémon and crush them with its massive body! Drednaw normally keeps its neck retracted within its shell, but when it attacks, it can rapidly shoot its neck out"
3,Drednaw," Its jaws are also incredibly strong, capable of easily biting through huge metal towers"
4,Drednaw, The strength of its jaws combined with the force of its neck gives Drednaw the power to punch a hole through a rocky mountain in a single strike
0,Yamper,"Yamper have a habit of chasing running and moving things, ranging from humans and other Pokémon to moving vehicles"
1,Yamper,"As they can't store much electricity in its organ, this can explain their tendency to roam around with crackling electric sparks"
2,Yamper,"Yamper follow and obey people only because they want treats, according to their Shield Dex entry"
3,Yamper," However, this doesn't affect their popularity in Galar as shepherd dogs"
0,Boltund,Boltund are vivacious and loyal creatures
1,Boltund," Compared to their pre-evolutions, they become more serious in nature and more able to focus on the tasks at hand"
2,Boltund," They still retain their playfulness outside of work, however"
3,Boltund," In some regions, human herders have partnered with Boltund in for millennia"
4,Boltund," Though their domestication process began long after Herdier, they are just as reliable with proper training and affection"
5,Boltund,"In the wild, packs of Boltund can be seen zipping across grasslands"
6,Boltund, They are extremely loyal to one another and will share electricity with tired pack members to rejuvenate them
7,Boltund,"They are also vigilant, and serve as a natural enemy of Thievul"
8,Boltund, They will go out of their ways to track down these secretive Pokémon and stop them from stealing the eggs of other unsuspecting Pokémon
0,Rolycoly,Rolycoly uses its eye to illuminate the dark caverns it inhabits
1,Rolycoly, The large piece of coal attached to Rolycoly's underside allows for better maneuverability over the roughest of terrains
2,Rolycoly,"During the past 100 years, Rolycoly helped provide warmth for families living in Galar"
3,Rolycoly," Even in modern times, Rolycoly was used for camping outdoors"
0,Carkol,The coal formed from Carkol's body once helped fuel the lives of people living in Galar
1,Carkol, They are thrill-seeking Pokémon that enjoy traveling at high speeds
2,Carkol,Carkoal can travel over 18 mph by rolling all four of its legs very fast
3,Carkol," They can also breath fire that can reach 1,800 degrees Fahrenheit"
4,Carkol," Due to their internal coal tars, their heaps of coal never fall apart even when they race at high speeds"
5,Carkol,It evolves from Rolycoly at level 18 and into Coalossal at level 34
0,Coalossal,"While a peaceful Pokémon, Coalossal is very protective of the mines it inhabits and will not tolerate anyone who damages them"
1,Coalossal," If it sees anyone who would do such actions, Coalossal will incinerate the offenders with intense flames that can reach over 2,700 degrees Fahrenheit"
2,Coalossal,"they are exclusively herbivores and lithovores, consuming plant matter and minerals and compressing it within their bodies into hard anthracite"
3,Coalossal,The anthracite that Coalossal produce is valued for its high quality and ease of harvest
4,Coalossal," However, because Coalossal must eat more in order to produce this high-grade mineral, it is generally not as cost-efficient as harvesting the coal that Carkol produces"
5,Coalossal," Coalossal anthracite still has its uses in applications where high quality is necessary, though"
6,Coalossal,"During battle, Coalossal releases sparks from its coal heap that can scorch the surrounding areas"
7,Coalossal,"Once it Gigantamaxes, Coalossal is capable of generating flames that can burn more than 3,600 degrees Fahrenheit; the flames themselves are fueled by Gigantamax energy"
8,Coalossal," During a terrible snowstorm, Gigantamax Coalossal helped save the many lives of people living in Galar by providing warmth"
0,Applin,"Applin spends the majority of its life cycle living inside an apple, which helps in protecting against natural predators such as bird Pokémon"
1,Applin,The apple that Applin lives inside is a food source and emits a flavor that determines how Applin is going to evolve
2,Applin," Without its apple, it will become malnourished and weakened"
0,Flapple,Its consumption of a sour apple has cause Flapple to undergo evolution
1,Flapple, Its cheek sacs contain acid capable of causing burns and other chemical reactions
2,Flapple, It is able to fly by flapping the apple skins and can fold them back to look like an apple
3,Flapple,Flapple will hide in the branches of apple trees with their wings folded and their heads down to mimic apples
4,Flapple," When unsuspecting bugs fly by, they will dissolve them with their acid before consuming their catches"
