,Pokemon,variable,value
8993,Phantump,7,a drawing of a cartoon character with gullible leaves on his head
8994,Venomoth,7,a over embellished faerie butterfly with big blue eyes
8995,Natu,7,a green bird with jaundiced wings and a pink snoot
8996,Boltund,7,a yellow and hoary cat with a black background
8997,Simisear,7,a crimson and yellow cartoon character
8998,Spritzee,7,a pink bird with a bounteous reddened eye
8999,Virizion,7,a green and white pokemon with a chapeau on
9000,Flabe╠übe╠ü,7,a cartoon character sitting on cover of a flower
9001,Armarouge,7,a toon character with a yellow and crimson outfit
9002,Scolipede,7,a really cute looking cartoon character with large horns
9003,Rillaboom,7,a cartoon theatrical role with a green and black outfit
9004,Lokix,7,a toon of a monster with sharp teeth
9005,Fidough,7,a yellow and white stuffed animal on a pitch black background
9006,Mamoswine,7,a sketch animal with a blue mask on
9007,Slither Wing,7,a red and white pokemon pokemon role
9008,Capsakid,7,a very cute green pokemon character with openhanded optic
9009,Drizzile,7,a cartoon part is run for with a hat on
9010,Tapu Fini,7,a drawing of a woman in a beldame lid
9011,Kirlia,7,a green and white toon character with big optic
9012,Steelix,7,a cartoon character with a bad smile on his face
9013,Omastar,7,an octopus with spikes on it caput
9014,Bramblin,7,a draft of a flower that is yellow and brown
9015,Rotom,7,a cartoon character with a lightning bolt in the background
9016,Hoothoot,7,a real cute expect owl with big eyes
9017,Karrablast,7,a very precious look cartoon character with a big mouth
9018,Torkoal,7,a sketch turtle with a helmet on its back
9019,Cramorant,7,a blue bird with a scandalmongering schnozzle holding a large object in it ' s beak
9020,Victini,7,a very cute look pokemon with a big hat on
9021,Cloyster,7,an range of a cartoon fibre in a shell
9022,Wormadam Plant Cloak,7,a group of terzetto cartoon characters holding onto each other
9023,Blipbug,7,an figure of speech of a toon character with big eyes
9024,Relicanth,7,a drawing of a pisces the fishes with a red eye
9025,Wynaut,7,a blue cartoon theatrical role with a big smile
9026,Raboot,7,a drawing of a cartoon character with red eyes
9027,Zorua,7,a very cute look cartoon character with big eyes
9028,Timburr,7,a cartoon black eye carrying a large piece of woodwind
9029,Drifblim,7,a very cute await cartoon persona with a cross on information technology ' s face
9030,Altaria,7,a blue bird flying through with the air on a bootleg background
9031,Cradily,7,a light green and yellow cartoon character
9032,Espathra,7,a draft of a yellow and white pokemon character
9033,Mudkip,7,a blue and orange pisces with a white ass
9034,Toxel,7,a purple and white cat with self aggrandizing eyes
9035,Great Tusk,7,a real cute looking dragon with big cornet
9036,Lunala,7,a purple and yellow at bat with stars on information technology
9037,Mudsdale,7,a animated cartoon sawbuck with long hair and boots
9038,Shellder,7,a sketch character with a tongue sticking verboten
9039,Jumpluff,7,a cartoon blueberry bush with a green leaf on top of it
9040,Bounsweet,7,a pink mushroom with green leaves on top of information technology
9041,Trubbish,7,a light green monster with big eyes sit down
9042,Beautifly,7,a very cute looking louse with big blue eyes
9043,Bagon,7,a animated cartoon character with a towel on his head
9044,Celesteela,7,a drawing of a sci - fi fi fi fi fi fi fi fi fi fi
9045,Centiskorch,7,a animated cartoon of a fire breathing snake
9046,Marshtomp,7,a blue and orange sketch fish with its mouth open
9047,Uxie,7,a drawing of a animated cartoon character holding a blossom
9048,Bergmite,7,a paper mannikin of a fish with yellow eyes
9049,Suicune,7,a blue and purple pokemon with a tenacious tail
9050,Sudowoodo,7,a sketch character juggling green balls
9051,Lanturn,7,a blue and yellow pisces with a big smile
9052,Mr. Mime,7,a pink and white animated cartoon character with blue hair
9053,Kingler,7,a drawing of a cartoon character position on the primer
9054,Shroomish,7,a yellow and green cartoon fictitious character with a sad face
9055,Mew,7,a drawing of a pink cat holding a hawaiian dancing hoop
9056,Ekans,7,a purple snake sitting on circus tent of a white hot background
9057,Latios,7,a blue and white animated cartoon part flying through the air
9058,Gligar,7,a pink toon case with a big smile
9059,Cetitan,7,a draft of a white and pink pokemon ball
9060,Oinkologne Male,7,a animated cartoon pig with pink shoes and a grim background
9061,Combusken,7,a really cute looking pokemon with big claws
9062,Roselia,7,a cartoon character confine a flower and a ball
9063,Arctibax,7,a drawing of a blue bird with a xanthous beak
9064,Nacli,7,a drawing of a brownness and white object on a white background
9065,Slowpoke,7,a pink fauna with a big smile on it ' s face
9066,Dachsbun,7,a brown dog with a yellow bow on it ' s neck opening
9067,Bonsly,7,a cartoon character with three green balls on his question
9068,Aegislash Shield Forme,7,a stylized image of a steel with wings
9069,Squawkabilly Green Plumage,7,a green and white bird with a black hat on information technology headway
9070,Floatzel,7,a cartoon animal with a banana on it back
9071,Hakamo-o,7,a cartoon fictitious character with a yellow and whitened outfit
9072,Parasect,8,a cartoon crab wearing a pink lid with yellowish spots
9073,Sobble,8,a blue and yellow pokemon character with a big grin
9074,Lumineon,8,a blue and white fish with a inglorious background
9075,Raikou,8,a drawing of a yellow and bootleg cat
9076,Runerigus,8,a paper cut out of a lizard with it oral cavity open
9077,Dedenne,8,a jaundiced and black pokemon pikachu character
9078,Pyroar,8,a drawing of a cat with cherry eyes and a yellow tail
9079,Pawmi,8,a very cute looking animate being with big eyes
9080,Articuno,8,a blueing and white raspberry with large wings
9081,Maushold Family of Four,8,a group of animated cartoon mouses standing next to each other
9082,Magmortar,8,a toon character in a yellowness and red outfit
9083,Bulbasaur,8,a unripe and black market pokemon with red eyes
9084,Banette,8,a cartoon cat with a braggy smile on its face
9085,Staraptor,8,a very precious looking bird with a liberal beak
9086,Pidove,8,a white boo with a black beak and jaundiced eyes
9087,Morgrem,8,a cartoon graphic symbol with a demon alike body
9088,Comfey,8,a wreath of flowers with a bird sitting on peak of it
9089,Taillow,8,"a doll with a cherry, white, and blue beak"
9090,Charizard,8,an orange and blue tartar with a flame coming out of its mouth
9091,Infernape,8,a very cute looking pokemon character
9092,Marshadow,8,a drawing of a toon character with red oculus
9093,Thundurus Incarnate Forme,8,a very cute wait cartoon type with big eyes
9094,Alakazam,8,a cartoon of a icteric fox hold up spoons
9095,Lickitung,8,a garden pink animated cartoon character with its mouth open
9096,Zigzagoon,8,a cartoon porcupine running with its mouth loose
9097,Starmie,8,a star with a baseball diamond on top of it
9098,Deoxys Normal Forme,8,a stylized icon of a woman in red and blue
9099,Purugly,8,a gray and white cat with yellow eye
9100,Tandemaus,8,a couple of lily white mouses standing next to each former
9101,Yanmega,8,a green and pink dirt ball flying done the air
9102,Yveltal,8,a reddish and black bird with large wings
9103,Petilil,8,a sketch character with a green leaf on its head
9104,Torterra,8,a green and white pokemon fictional character with a tree on top of it
9105,Cresselia,8,a cartoon snort with a pink tail and a blue consistency
9106,Regigigas,8,a cartoon theatrical role with a banana tree in his hand
9107,Sandshrew,8,a yellow and blank cat with blue eyes
9108,Palkia,8,a drawing of a cartoon character vanish through the air
9109,Impidimp,8,a pink cartoon eccentric with horn and eyes
9110,Froakie,8,a blue anuran with big eyes and a big grinning
9111,Kilowattrel,8,a bird flying through the air with its wings counterpane
9112,Arrokuda,8,a brown and blank fish on a black background
9113,Munna,8,a pink and purple pokemon ball with a blossom on it
9114,Bellossom,8,a cartoon character with a blossom in her hair
9115,Gabite,8,a cartoon of a blue and orange dragon
9116,Mareep,8,a clean sheep with a blue face and yellow horns
9117,Shieldon,8,a animated cartoon animal with a helmet on its head
9118,Sneasler,8,a motion picture of a caterpillar that is very cute
9119,Stoutland,8,a real cute look cat with big eyes
9120,Corviknight,8,a blue bird with a black backdrop
9121,Accelgor,8,a cartoon character with a green and reddish helmet
9122,Makuhita,8,a yellow pokemon pikachu with a pitch dark collar
9123,Seviper,8,a very cunning animated cartoon character with a big smile
9124,Archeops,8,a very cute look pokemon with big eyes
9125,Tirtouga,8,a very cute looking cartoon pisces the fishes with a big smile
9126,Lampent,8,a cartoon character with a hat on his head teacher
9127,Nosepass,8,a blue and red animate being with a shameful face
9128,Chi-Yu,8,a cartoon fish with headphones float in the weewee
9129,Minior Meteor Form,8,a drawing off of a chunk with spikes on it
9130,Ceruledge,8,a stylized image of a mortal with a sword
9131,Nidoking,8,a purple and white cartoon character with big teeth
9132,Huntail,8,a blue and orange cartoon pisces the fishes with its mouth exposed
9133,Carracosta,8,a toon character with a blue body and black eyes
9134,Nidoqueen,8,a drafting of a blue and gray tartar
9135,Inkay,8,a drawing of a blue razzing have on a pink hat
9136,Avalugg,8,a draught of a piece of paper on a whitened background
9137,Grubbin,8,a close up of a sketch character with magnanimous eyes
9138,Sentret,8,a very precious looking animal on a black backdrop
9139,Golbat,8,a purple and black tartar with its mouth open
9140,Skorupi,8,a blue and violet cartoon character with automobile horn
9141,Indeedee Male,8,a cartoon character in a purple kit
9142,Conkeldurr,8,a cartoon graphic symbol holding onto a stone
9143,Jellicent,8,a pinko and white skirt with wings
9144,Yungoos,8,a cartoon animal with a big mouth and sharp teeth
9145,Meltan,8,a black and white pictorial matter of a xanthous object
9146,Arctovish,8,a blue sky and white hot fish floating in the water
9147,Zacian Hero of Many Battles,8,a blue and lily white dog with a red bottom
9148,Barraskewda,8,a draught of a fish with sharp teeth
9149,Luxio,8,a cartoon of a black and xanthous cat
9150,Duraludon,8,a white robot with a bluing background
9151,Poliwrath,8,a black and white cartoon character with arm and legs
9152,Binacle,8,a drawing of a cartoon character with two hand in the aura
9153,Galvantula,8,a yellow and blue pokemon pikachu lay down
9154,Hippopotas,8,a yellow and brown animate being with big eyes
9155,Magnemite,8,a mechanically skillful device with a screwdriver attached to it
9156,Swirlix,8,a white cloud with pink center and a pinko nose
9157,Finneon,8,a garden pink and blue pokemon character with big eyes
9158,Kleavor,8,a real cute looking pokemon with cock a hoop wings
9159,Medicham,8,a garden pink and yellow cartoon persona holding a pair of scissors
9160,Yamper,8,a cartoon of a yellowed and white rabbit with it tongue out
9161,Crawdaunt,8,a cartoon character with a star on his point
9162,Mienfoo,8,a cartoon character with a boxing baseball mitt
9163,Electrike,8,a green and white livered dragon with information technology mouth open
9164,Florges,8,a garden pink flower with green leaves on a black background signal
9165,Coalossal,8,a cartoon character with a violent spark on his face
9166,Shinx,8,an elephant with a star on its back
9167,Eiscue Ice Face,8,a penguin with a cube on its school principal
9168,Quaquaval,8,a animated cartoon character with a blue bird on his arm
9169,Shellos,8,a blue and yellow duck with horns on it ' s head
9170,Gothita,8,a purple and black khat with big eyes
9171,Overqwil,8,a picture of a cartoon eccentric with spindle on his head
9172,Porygon,8,a garden pink and blue bird sitting on top of a black background
9173,Budew,8,a green and yellow animal with a large smile
9174,Alomomola,8,a pink boo with yellow eyes flying through the melodic line
9175,Dratini,8,a blue and snowy shuttle with a black background
9176,Reshiram,8,a drawing of a white bird with blue eye
9177,Sawsbuck,8,a cartoon deer with flowers on its antlers
9178,Blaziken,8,a drawing of a red and yellow bellied pokemon
9179,Serperior,8,a green and yellow lizard with an capable mouth
9180,Toxicroak,8,a cartoon character with a ball in his manus
9181,Flareon,8,a red and yellow pokemon pikachu ply
